ufc/ml,pH_initial_
10.62,4.0
10.62,5.0
10.62,5.0
10.62,5.0
10.62,4.0
10.62,6.0
9.18,7.0
10.62,5.0
10.62,6.0
10.62,5.0
9.18,5.0
9.18,6.0
10.62,6.0
10.62,7.0
10.62,4.0
10.62,4.0
10.62,6.0
9.18,5.0
10.62,4.0
9.18,5.0
10.62,7.0
10.62,5.0
9.18,4.0
9.18,4.0
10.62,7.0
10.62,7.0
10.62,4.0
9.18,6.0
10.62,4.0
9.18,7.0
10.62,5.0
10.62,5.0
10.62,7.0
10.62,6.0
10.62,7.0
10.62,4.0
9.18,6.0
10.62,7.0
10.62,4.0
10.62,4.0
9.18,4.0
9.18,7.0
10.62,7.0
10.62,6.0
10.62,4.0
10.62,4.0
10.62,4.0
9.18,4.0
10.62,6.0
10.62,4.0
9.18,6.0
9.18,4.0
10.62,4.0
10.62,5.0
10.62,5.0
9.18,5.0
10.62,4.0
9.18,7.0
10.62,5.0
10.62,5.0
10.62,7.0
9.18,4.0
9.18,6.0
10.62,4.0
10.62,4.0
10.62,6.0
10.62,4.0
9.18,7.0
9.18,6.0
9.18,6.0
10.62,4.0
10.62,7.0
10.62,7.0
9.18,6.0
9.18,5.0
10.62,5.0
10.62,6.0
10.62,5.0
9.18,5.0
10.62,5.0
9.18,6.0
10.62,4.0
10.62,6.0
10.62,6.0
9.18,7.0
9.18,5.0
10.62,6.0
10.62,4.0
10.62,6.0
10.62,5.0
9.18,4.0
9.18,6.0
9.18,7.0
10.62,5.0
10.62,6.0
10.62,6.0
9.18,7.0
10.62,7.0
10.62,4.0
10.62,5.0
10.62,4.0
10.62,6.0
10.62,4.0
10.62,4.0
10.62,4.0
9.18,6.0
10.62,7.0
10.62,5.0
10.62,7.0
9.18,6.0
9.18,7.0
10.62,5.0
10.62,6.0
9.18,6.0
10.62,5.0
10.62,6.0
10.62,6.0
10.62,7.0
10.62,7.0
10.62,4.0
9.18,6.0
9.18,4.0
10.62,7.0
10.62,6.0
10.62,7.0
10.62,7.0
10.62,7.0
10.62,4.0
10.62,7.0
10.62,4.0
10.62,4.0
10.62,4.0
10.62,4.0
9.18,7.0
10.62,6.0
10.62,5.0
10.62,7.0
10.62,4.0
10.62,6.0
9.18,4.0
10.62,7.0
10.62,7.0
10.62,5.0
10.62,6.0
10.62,4.0
9.18,4.0
10.62,6.0
9.18,5.0
10.62,5.0
10.62,4.0
9.18,4.0
9.18,7.0
10.62,7.0
10.62,7.0
10.62,5.0
9.18,4.0
10.62,7.0
9.18,6.0
10.62,6.0
10.62,6.0
10.62,6.0
10.62,6.0
10.62,7.0
10.62,7.0
9.18,6.0
10.62,6.0
10.62,6.0
10.62,4.0
9.18,4.0
9.18,6.0
10.62,6.0
10.62,6.0
10.62,6.0
10.62,5.0
10.62,5.0
9.18,6.0
10.62,7.0
10.62,5.0
9.18,4.0
9.18,7.0
10.62,7.0
10.62,5.0
10.62,7.0
9.18,4.0
10.62,6.0
9.18,6.0
10.62,6.0
10.62,6.0
10.62,5.0
9.18,5.0
9.18,6.0
10.62,5.0
10.62,7.0
10.62,4.0
10.62,6.0
9.18,7.0
9.18,5.0
9.18,7.0
10.62,7.0
10.62,5.0
10.62,6.0
9.18,4.0
9.18,5.0
10.62,6.0
10.62,7.0
10.62,7.0
9.18,4.0
10.62,7.0
9.18,4.0
10.62,7.0
10.62,7.0
10.62,7.0
9.18,5.0
9.18,4.0
10.62,7.0
10.62,7.0
10.62,4.0
10.62,5.0
9.18,5.0
9.18,4.0
9.18,5.0
10.62,4.0
10.62,5.0
10.62,6.0
9.18,7.0
10.62,6.0
10.62,7.0
10.62,7.0
10.62,6.0
10.62,4.0
10.62,5.0
10.62,6.0
10.62,4.0
9.18,6.0
10.62,5.0
10.62,5.0
10.62,6.0
9.18,4.0
9.18,6.0
10.62,7.0
10.62,5.0
9.18,7.0
10.62,6.0
10.62,7.0
10.62,5.0
10.62,7.0
10.62,5.0
10.62,7.0
9.18,4.0
9.18,7.0
10.62,5.0
10.62,6.0
10.62,7.0
10.62,4.0
10.62,7.0
9.18,5.0
9.18,7.0
9.18,7.0
10.62,5.0
10.62,7.0
10.62,7.0
9.18,7.0
10.62,6.0
10.62,6.0
10.62,5.0
10.62,7.0
10.62,6.0
10.62,7.0
10.62,4.0
10.62,6.0
9.18,5.0
10.62,6.0
10.62,6.0
10.62,4.0
9.18,5.0
9.18,7.0
10.62,5.0
10.62,7.0
10.62,5.0
10.62,7.0
10.62,5.0
9.18,7.0
10.62,4.0
9.18,4.0
10.62,7.0
10.62,4.0
9.18,5.0
9.18,5.0
10.62,6.0
10.62,5.0
10.62,7.0
9.18,7.0
10.62,4.0
9.18,7.0
10.62,4.0
10.62,7.0
10.62,4.0
9.18,7.0
10.62,6.0
10.62,7.0
10.62,4.0
10.62,5.0
10.62,5.0
10.62,4.0
9.18,7.0
9.18,6.0
10.62,7.0
10.62,6.0
10.62,7.0
10.62,4.0
10.62,6.0
10.62,6.0
10.62,4.0
10.62,4.0
10.62,5.0
10.62,7.0
10.62,6.0
9.18,5.0
10.62,4.0
10.62,4.0
10.62,6.0
10.62,7.0
10.62,4.0
10.62,4.0
9.18,7.0
10.62,6.0
9.18,4.0
10.62,4.0
10.62,5.0
9.18,7.0
9.18,4.0
10.62,6.0
10.62,5.0
10.62,7.0
9.18,6.0
10.62,5.0
9.18,7.0
10.62,4.0
10.62,6.0
10.62,5.0
9.18,5.0
10.62,4.0
10.62,4.0
10.62,5.0
10.62,7.0
10.62,4.0
10.62,7.0
9.18,7.0
9.18,4.0
10.62,4.0
10.62,7.0
10.62,6.0
10.62,6.0
10.62,5.0
10.62,4.0
10.62,5.0
10.62,7.0
10.62,6.0
10.62,4.0
10.62,4.0
9.18,4.0
10.62,5.0
10.62,4.0
10.62,5.0
10.62,7.0
10.62,4.0
10.62,6.0
10.62,6.0
10.62,7.0
9.18,4.0
10.62,5.0
10.62,7.0
10.62,4.0
9.18,6.0
9.18,5.0
10.62,4.0
10.62,6.0
10.62,6.0
10.62,7.0
10.62,7.0
9.18,5.0
10.62,7.0
9.18,5.0
10.62,7.0
10.62,6.0
9.18,5.0
9.18,4.0
10.62,4.0
10.62,5.0
10.62,6.0
9.18,4.0
10.62,4.0
9.18,5.0
10.62,5.0
10.62,6.0
10.62,5.0
10.62,7.0
10.62,7.0
10.62,5.0
9.18,7.0
10.62,4.0
10.62,7.0
10.62,7.0
9.18,7.0
9.18,6.0
10.62,5.0
10.62,6.0
10.62,7.0
10.62,5.0
10.62,6.0
9.18,6.0
10.62,6.0
10.62,4.0
9.18,7.0
10.62,4.0
10.62,7.0
10.62,7.0
10.62,7.0
9.18,7.0
10.62,5.0
10.62,5.0
10.62,5.0
10.62,6.0
10.62,6.0
9.18,7.0
9.18,6.0
9.18,7.0
10.62,7.0
10.62,5.0
10.62,4.0
9.18,6.0
10.62,4.0
10.62,7.0
10.62,4.0
10.62,4.0
10.62,7.0
10.62,6.0
10.62,4.0
10.62,5.0
9.18,4.0
10.62,4.0
10.62,5.0
10.62,4.0
10.62,4.0
9.18,4.0
10.62,6.0
10.62,4.0
9.18,4.0
10.62,7.0
10.62,7.0
10.62,4.0
10.62,5.0
9.18,6.0
9.18,7.0
10.62,6.0
10.62,7.0
10.62,4.0
10.62,6.0
10.62,4.0
9.18,4.0
10.62,7.0
9.18,4.0
10.62,7.0
10.62,7.0
9.18,6.0
9.18,4.0
10.62,7.0
10.62,4.0
10.62,6.0
9.18,4.0
10.62,4.0
9.18,4.0
10.62,4.0
10.62,5.0
10.62,6.0
10.62,4.0
10.62,4.0
10.62,7.0
9.18,4.0
10.62,4.0
10.62,5.0
10.62,4.0
9.18,4.0
9.18,4.0
10.62,4.0
10.62,4.0
10.62,5.0
10.62,6.0
10.62,5.0
9.18,7.0
10.62,6.0
10.62,6.0
9.18,4.0
10.62,7.0
10.62,6.0
10.62,4.0
10.62,5.0
9.18,5.0
10.62,5.0
10.62,5.0
10.62,6.0
10.62,5.0
10.62,5.0
9.18,5.0
9.18,5.0
9.18,7.0
10.62,5.0
10.62,4.0
10.62,5.0
9.18,7.0
10.62,6.0
10.62,4.0
10.62,6.0
10.62,6.0
10.62,4.0
10.62,7.0
10.62,7.0
10.62,4.0
9.18,6.0
10.62,5.0
10.62,7.0
10.62,7.0
10.62,5.0
9.18,6.0
9.18,6.0
10.62,7.0
10.62,7.0
10.62,5.0
10.62,5.0
9.18,5.0
9.18,5.0
9.18,5.0
10.62,6.0
10.62,6.0
10.62,5.0
9.18,7.0
9.18,4.0
10.62,6.0
10.62,5.0
10.62,6.0
9.18,4.0
10.62,5.0
9.18,5.0
10.62,4.0
10.62,7.0
10.62,6.0
9.18,4.0
9.18,6.0
10.62,4.0
10.62,7.0
10.62,4.0
10.62,5.0
9.18,7.0
9.18,7.0
9.18,5.0
10.62,4.0
10.62,5.0
10.62,5.0
9.18,7.0
10.62,5.0
10.62,4.0
10.62,6.0
10.62,5.0
10.62,7.0
10.62,4.0
10.62,6.0
10.62,5.0
9.18,4.0
10.62,6.0
10.62,4.0
10.62,4.0
9.18,4.0
9.18,5.0
10.62,7.0
10.62,4.0
9.18,7.0
10.62,5.0
10.62,5.0
10.62,7.0
10.62,5.0
10.62,7.0
10.62,7.0
9.18,4.0
9.18,7.0
10.62,6.0
10.62,4.0
10.62,5.0
10.62,7.0
10.62,5.0
9.18,4.0
9.18,4.0
9.18,6.0
10.62,6.0
10.62,6.0
10.62,5.0
9.18,6.0
10.62,4.0
9.18,7.0
9.18,6.0
10.62,4.0
10.62,5.0
10.62,4.0
9.18,7.0
10.62,6.0
9.18,4.0
10.62,4.0
10.62,6.0
10.62,7.0
10.62,7.0
10.62,7.0
10.62,7.0
9.18,4.0
10.62,6.0
10.62,6.0
10.62,5.0
9.18,6.0
9.18,6.0
10.62,5.0
10.62,7.0
10.62,5.0
10.62,7.0
10.62,7.0
9.18,6.0
10.62,5.0
10.62,6.0
9.18,7.0
9.18,6.0
10.62,5.0
10.62,7.0
10.62,5.0
9.18,6.0
10.62,6.0
9.18,4.0
10.62,6.0
10.62,7.0
10.62,6.0
9.18,7.0
9.18,4.0
10.62,7.0
10.62,5.0
10.62,5.0
10.62,7.0
9.18,5.0
9.18,7.0
9.18,4.0
10.62,7.0
10.62,7.0
10.62,4.0
9.18,4.0
9.18,6.0
10.62,5.0
10.62,4.0
10.62,5.0
9.18,6.0
10.62,4.0
9.18,7.0
10.62,6.0
10.62,4.0
10.62,7.0
9.18,6.0
9.18,7.0
10.62,4.0
10.62,5.0
10.62,5.0
10.62,4.0
9.18,5.0
9.18,7.0
9.18,7.0
10.62,5.0
10.62,7.0
10.62,6.0
9.18,6.0
10.62,5.0
10.62,4.0
10.62,5.0
10.62,4.0
10.62,6.0
10.62,6.0
10.62,4.0
10.62,4.0
9.18,4.0
10.62,7.0
10.62,4.0
10.62,4.0
9.18,7.0
9.18,6.0
10.62,4.0
10.62,4.0
10.62,6.0
10.62,6.0
10.62,6.0
10.62,4.0
10.62,4.0
10.62,5.0
10.62,6.0
9.18,6.0
9.18,4.0
10.62,6.0
10.62,4.0
10.62,7.0
10.62,7.0
10.62,6.0
9.18,5.0
9.18,4.0
9.18,7.0
10.62,6.0
10.62,7.0
10.62,6.0
9.18,5.0
10.62,5.0
10.62,7.0
10.62,6.0
10.62,7.0
10.62,4.0
10.62,7.0
10.62,4.0
10.62,5.0
9.18,4.0
10.62,5.0
10.62,6.0
10.62,5.0
9.18,7.0
9.18,7.0
10.62,4.0
10.62,7.0
10.62,5.0
10.62,6.0
10.62,7.0
10.62,6.0
9.18,5.0
10.62,7.0
10.62,7.0
10.62,7.0
10.62,6.0
10.62,7.0
9.18,5.0
10.62,7.0
10.62,4.0
9.18,4.0
10.62,5.0
10.62,4.0
10.62,5.0
10.62,5.0
9.18,5.0
10.62,6.0
10.62,6.0
10.62,7.0
10.62,7.0
10.62,7.0
9.18,4.0
10.62,7.0
9.18,4.0
10.62,7.0
10.62,5.0
10.62,7.0
9.18,5.0
10.62,7.0
10.62,6.0
10.62,4.0
10.62,6.0
9.18,6.0
10.62,5.0
10.62,7.0
10.62,4.0
10.62,7.0
9.18,7.0
10.62,5.0
10.62,6.0
10.62,4.0
10.62,4.0
10.62,5.0
9.18,4.0
9.18,7.0
9.18,7.0
10.62,6.0
10.62,5.0
10.62,5.0
9.18,6.0
10.62,5.0
10.62,5.0
10.62,4.0
10.62,7.0
9.18,7.0
10.62,5.0
10.62,4.0
10.62,7.0
10.62,5.0
10.62,5.0
9.18,6.0
10.62,6.0
10.62,4.0
10.62,4.0
9.18,5.0
9.18,6.0
10.62,4.0
10.62,4.0
10.62,6.0
10.62,5.0
10.62,6.0
9.18,4.0
10.62,5.0
10.62,6.0
9.18,7.0
9.18,5.0
10.62,4.0
10.62,7.0
10.62,5.0
9.18,7.0
10.62,5.0
10.62,7.0
9.18,4.0
10.62,7.0
10.62,4.0
10.62,7.0
9.18,7.0
10.62,5.0
10.62,5.0
10.62,6.0
10.62,6.0
10.62,5.0
10.62,4.0
10.62,7.0
10.62,6.0
9.18,7.0
10.62,4.0
10.62,6.0
10.62,5.0
9.18,4.0
9.18,5.0
10.62,5.0
10.62,4.0
9.18,4.0
10.62,7.0
10.62,4.0
10.62,7.0
10.62,6.0
10.62,7.0
10.62,7.0
9.18,7.0
10.62,6.0
10.62,7.0
10.62,5.0
10.62,7.0
10.62,4.0
9.18,6.0
9.18,5.0
9.18,6.0
10.62,7.0
10.62,7.0
10.62,6.0
9.18,5.0
10.62,5.0
10.62,6.0
10.62,6.0
10.62,5.0
10.62,6.0
10.62,6.0
10.62,5.0
10.62,6.0
9.18,7.0
10.62,5.0
10.62,4.0
10.62,6.0
10.62,7.0
9.18,6.0
10.62,5.0
10.62,7.0
10.62,5.0
10.62,6.0
10.62,6.0
9.18,7.0
9.18,5.0
9.18,7.0
10.62,7.0
10.62,7.0
9.18,6.0
9.18,6.0
10.62,6.0
10.62,7.0
10.62,4.0
10.62,4.0
10.62,7.0
9.18,4.0
9.18,7.0
9.18,4.0
10.62,4.0
10.62,7.0
10.62,7.0
9.18,4.0
10.62,7.0
10.62,4.0
10.62,4.0
10.62,4.0
10.62,4.0
10.62,4.0
10.62,6.0
10.62,4.0
9.18,5.0
10.62,5.0
10.62,6.0
10.62,4.0
9.18,4.0
9.18,7.0
10.62,5.0
10.62,7.0
10.62,6.0
10.62,7.0
10.62,6.0
10.62,4.0
9.18,5.0
10.62,6.0
10.62,5.0
10.62,5.0
10.62,7.0
10.62,4.0
9.18,5.0
10.62,5.0
10.62,7.0
9.18,4.0
10.62,5.0
10.62,5.0
10.62,4.0
10.62,6.0
9.18,6.0
10.62,6.0
10.62,5.0
